OBJID,Predicted_Type,p_ELLIPTICAL,p_SPIRAL
587722952233648896,ELLIPTICAL,0.6158690750598907,0.38413092494010925
587722952233779712,ELLIPTICAL,0.6117644608020782,0.38823553919792175
587722952233975936,ELLIPTICAL,0.6038430035114288,0.39615699648857117
587722952233976448,ELLIPTICAL,0.6153977513313293,0.38460224866867065
587722952234041984,ELLIPTICAL,0.6145953834056854,0.3854046165943146
587722952234107392,ELLIPTICAL,0.6119782328605652,0.3880217671394348
587722952234172800,ELLIPTICAL,0.6091483533382416,0.3908516466617584
587722952234172928,ELLIPTICAL,0.6161343157291412,0.38386568427085876
587722952234173056,ELLIPTICAL,0.6183793544769287,0.3816206455230713
587722952234238592,ELLIPTICAL,0.6195858418941498,0.3804141581058502
587722952234369536,ELLIPTICAL,0.6226155161857605,0.3773844838142395
587722952234369536,ELLIPTICAL,0.610535055398941,0.38946494460105896
587722952234369664,ELLIPTICAL,0.6068565249443054,0.3931434750556946
587722952234434688,ELLIPTICAL,0.620301216840744,0.379698783159256
587722952234434944,ELLIPTICAL,0.6125925183296204,0.38740748167037964
587722952234500864,ELLIPTICAL,0.6128555536270142,0.38714444637298584
587722952234566016,ELLIPTICAL,0.6111055016517639,0.3888944983482361
587722952234566272,ELLIPTICAL,0.6091157793998718,0.3908842206001282
587722952234631296,ELLIPTICAL,0.6096009612083435,0.3903990387916565
587722952234631936,ELLIPTICAL,0.6156110465526581,0.3843889534473419
587722952234762240,ELLIPTICAL,0.6139471232891083,0.3860528767108917
587722952234762624,ELLIPTICAL,0.6247920095920563,0.3752079904079437
587722952234828416,ELLIPTICAL,0.6137762367725372,0.38622376322746277
587722952235352320,ELLIPTICAL,0.6110677421092987,0.3889322578907013
587722952235417728,ELLIPTICAL,0.606251060962677,0.393748939037323
587722952235680512,ELLIPTICAL,0.6115754842758179,0.38842451572418213
587722952235745408,ELLIPTICAL,0.6092477440834045,0.39075225591659546
587722952235942656,ELLIPTICAL,0.6174866855144501,0.3825133144855499
587722952236007552,ELLIPTICAL,0.6173052787780762,0.38269472122192383
587722952768094464,ELLIPTICAL,0.613036721944809,0.38696327805519104
587722952768225792,ELLIPTICAL,0.6167830228805542,0.3832169771194458
587722952768291072,ELLIPTICAL,0.613360583782196,0.38663941621780396
587722952768356480,ELLIPTICAL,0.6063942015171051,0.3936057984828949
587722952768487680,ELLIPTICAL,0.6126961708068848,0.38730382919311523
587722952768684288,ELLIPTICAL,0.6125271022319794,0.38747289776802063
587722952768749568,ELLIPTICAL,0.6153562366962433,0.3846437633037567
