OBJID,filename,filepath,pred_class_idx,pred_label,confidence
587732483837591808,587732483837591808_ra229.628900_dec40.614610.jpg,unknown_sdss_cutouts\587732483837591808_ra229.628900_dec40.614610.jpg,1,SPIRAL,0.9484966993331909
587732483839492352,587732483839492352_ra234.448200_dec38.275610.jpg,unknown_sdss_cutouts\587732483839492352_ra234.448200_dec38.275610.jpg,0,ELLIPTICAL,0.9903377890586853
587732483839557888,587732483839557888_ra234.554000_dec38.174220.jpg,unknown_sdss_cutouts\587732483839557888_ra234.554000_dec38.174220.jpg,0,ELLIPTICAL,0.871444821357727
587732484344119424,587732484344119424_ra134.737500_dec38.326950.jpg,unknown_sdss_cutouts\587732484344119424_ra134.737500_dec38.326950.jpg,1,SPIRAL,0.6471264362335205
587732484344774656,587732484344774656_ra136.404500_dec39.061420.jpg,unknown_sdss_cutouts\587732484344774656_ra136.404500_dec39.061420.jpg,1,SPIRAL,0.513493537902832
587732484345692160,587732484345692160_ra138.576700_dec40.364780.jpg,unknown_sdss_cutouts\587732484345692160_ra138.576700_dec40.364780.jpg,0,ELLIPTICAL,0.6975138783454895
587732484347920512,587732484347920512_ra144.352100_dec42.972560.jpg,unknown_sdss_cutouts\587732484347920512_ra144.352100_dec42.972560.jpg,1,SPIRAL,0.9999807476997375
587732484349689984,587732484349689984_ra149.429200_dec44.888170.jpg,unknown_sdss_cutouts\587732484349689984_ra149.429200_dec44.888170.jpg,1,SPIRAL,0.7653478980064392
587732484351459584,587732484351459584_ra154.703300_dec46.541000.jpg,unknown_sdss_cutouts\587732484351459584_ra154.703300_dec46.541000.jpg,1,SPIRAL,0.9961864948272705
587732484352114688,587732484352114688_ra156.698100_dec47.082220.jpg,unknown_sdss_cutouts\587732484352114688_ra156.698100_dec47.082220.jpg,1,SPIRAL,0.9953106641769409
587732484356833408,587732484356833408_ra172.472100_dec50.133390.jpg,unknown_sdss_cutouts\587732484356833408_ra172.472100_dec50.133390.jpg,1,SPIRAL,0.5154843926429749
587732484358275072,587732484358275072_ra177.487400_dec50.480560.jpg,unknown_sdss_cutouts\587732484358275072_ra177.487400_dec50.480560.jpg,0,ELLIPTICAL,0.9218297600746155
587732484359389312,587732484359389312_ra181.591600_dec50.780750.jpg,unknown_sdss_cutouts\587732484359389312_ra181.591600_dec50.780750.jpg,1,SPIRAL,0.9999167919158936
587732484359913472,587732484359913472_ra183.288800_dec50.761080.jpg,unknown_sdss_cutouts\587732484359913472_ra183.288800_dec50.761080.jpg,1,SPIRAL,0.5244821310043335
587732484360372224,587732484360372224_ra185.057500_dec50.648920.jpg,unknown_sdss_cutouts\587732484360372224_ra185.057500_dec50.648920.jpg,0,ELLIPTICAL,0.9997658133506775
587732484362403968,587732484362403968_ra192.474600_dec50.570110.jpg,unknown_sdss_cutouts\587732484362403968_ra192.474600_dec50.570110.jpg,1,SPIRAL,0.8560327291488647
587732484363321472,587732484363321472_ra195.544900_dec50.294860.jpg,unknown_sdss_cutouts\587732484363321472_ra195.544900_dec50.294860.jpg,1,SPIRAL,0.9935924410820007
587732484366598272,587732484366598272_ra206.776900_dec48.557140.jpg,unknown_sdss_cutouts\587732484366598272_ra206.776900_dec48.557140.jpg,1,SPIRAL,0.9806020855903625
587732484370137216,587732484370137216_ra218.047800_dec45.697110.jpg,unknown_sdss_cutouts\587732484370137216_ra218.047800_dec45.697110.jpg,1,SPIRAL,0.9950407147407532
587732484370595968,587732484370595968_ra219.360300_dec45.357420.jpg,unknown_sdss_cutouts\587732484370595968_ra219.360300_dec45.357420.jpg,1,SPIRAL,0.7999289631843567
587732484374462592,587732484374462592_ra230.034700_dec40.986470.jpg,unknown_sdss_cutouts\587732484374462592_ra230.034700_dec40.986470.jpg,1,SPIRAL,0.9994416832923889
587732484888592512,587732484888592512_ra155.298400_dec47.141030.jpg,unknown_sdss_cutouts\587732484888592512_ra155.298400_dec47.141030.jpg,0,ELLIPTICAL,0.9713865518569946
587732484891148672,587732484891148672_ra163.421100_dec49.179640.jpg,unknown_sdss_cutouts\587732484891148672_ra163.421100_dec49.179640.jpg,1,SPIRAL,0.9799753427505493
